,k,mean,pc1_mean,pc2_mean,pc3_mean,std,pc1_std,pc2_std,pc3_std
0,1,0.8450000000000001,0.75,0.715,0.8425,0.04650268809434568,0.10488088481701516,0.13656500283747666,0.04301162633521314
1,2,0.8450000000000001,0.75,0.715,0.8425,0.04650268809434568,0.10488088481701516,0.13656500283747666,0.04301162633521314
2,3,0.85,0.7625000000000001,0.7699999999999999,0.85,0.04808846015417836,0.09682458365518544,0.11554220008291342,0.04808846015417836
3,4,0.8699999999999999,0.78,0.7699999999999999,0.8699999999999999,0.043732139211339775,0.09637167633698193,0.10971554128745847,0.043732139211339775
4,5,0.8675,0.77,0.7675000000000001,0.8675,0.03221024681681281,0.10653637876331257,0.10943034314119647,0.03221024681681281
5,6,0.8774999999999998,0.7749999999999999,0.78,0.8774999999999998,0.038242646351945894,0.11346805717910216,0.0995615387586994,0.038242646351945894
6,7,0.8899999999999999,0.7775000000000001,0.7825,0.8899999999999999,0.03570714214271423,0.10350120772242226,0.10476163419878481,0.03570714214271423
7,8,0.8899999999999999,0.7825,0.7775000000000001,0.8899999999999999,0.03570714214271423,0.10653637876331258,0.09433981132056601,0.03570714214271423
8,9,0.8924999999999998,0.7750000000000001,0.7925000000000001,0.8924999999999998,0.03588175023601829,0.10752906583803287,0.0937416662962634,0.03588175023601829
9,10,0.8924999999999998,0.7799999999999999,0.7925000000000001,0.8924999999999998,0.03758324094593229,0.10712142642814274,0.09539392014169458,0.03758324094593229
10,11,0.8924999999999998,0.7799999999999999,0.7950000000000002,0.8924999999999998,0.035000000000000024,0.10712142642814274,0.09506576670915774,0.035000000000000024
11,12,0.8975,0.7825,0.7949999999999999,0.8975,0.04138236339311714,0.10325938214031692,0.09701803955966132,0.04138236339311714
12,13,0.8949999999999999,0.7799999999999999,0.8025,0.8975,0.036742346141747706,0.10712142642814274,0.09233092656309695,0.03905124837953329
13,14,0.8949999999999999,0.7799999999999999,0.8,0.8949999999999999,0.039210967853395326,0.10712142642814274,0.09650129532809394,0.039210967853395326
14,15,0.8949999999999999,0.7775000000000001,0.8025,0.8949999999999999,0.039210967853395326,0.10350120772242226,0.08674675786448738,0.039210967853395326
15,16,0.8949999999999999,0.7799999999999999,0.8025,0.8949999999999999,0.039210967853395326,0.10712142642814274,0.09233092656309695,0.039210967853395326
16,17,0.9,0.7825,0.8049999999999999,0.9,0.03952847075210476,0.10325938214031692,0.08824681297361398,0.03952847075210476
17,18,0.8975,0.7825,0.8049999999999999,0.8975,0.03984344362627309,0.10325938214031692,0.08824681297361398,0.03984344362627309
18,19,0.8975,0.7849999999999999,0.8049999999999999,0.8975,0.03984344362627309,0.10706306552681927,0.08824681297361398,0.03984344362627309
19,20,0.8924999999999998,0.7849999999999999,0.8049999999999999,0.8924999999999998,0.038405728739343066,0.099498743710662,0.08824681297361398,0.038405728739343066
20,21,0.8924999999999998,0.7825,0.8025,0.8924999999999998,0.038405728739343066,0.10799305533227586,0.09233092656309695,0.038405728739343066
